country,city,count,locations,firstUpdated,lastUpdated,parameters
US,Champaign-Urbana,66168812,2,2016-03-06T19:00:00+00:00,2021-02-01T03:00:00+00:00,"['co', 'o3', 'so2']"
US,CHARLESTON,83207833,1,2020-06-15T17:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'pm25', 'so2']"
US,Charleston-North Charleston,217724721,4,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Charlotte-Gastonia-Concord,221169415,9,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Charlottesville,57766965,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Chattanooga,29479823,4,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,CHAUTAUQUA,26791534,1,2016-03-11T15:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,CHELAN,57649820,3,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
US,CHESTERFIELD,39202999,1,2016-03-07T14:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,Cheyenne,149141445,4,2016-09-14T02:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Chicago,402,1,2014-09-16T00:00:00+00:00,2014-12-27T00:00:00+00:00,['ch4']
US,Chicago-Naperville-Joliet,590915255,26,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['bc', 'co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Chico,50166354,3,2016-03-06T19:00:00+00:00,2021-02-01T08:00:00+00:00,"['o3', 'pm25']"
US,CHIHUAHUA STATE,803,1,2017-10-18T23:00:00+00:00,2018-01-26T01:00:00+00:00,"['co', 'o3']"
US,CHURCHILL,29613853,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,Cincinnati-Middletown,433578379,12,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,City of The Dalles,30163310,1,2016-03-10T08:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,CLACKAMAS,29793253,2,2016-07-22T16:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,CLAIBORNE,23461782,1,2016-04-01T04:00:00+00:00,2021-02-01T03:00:00+00:00,['o3']
US,CLALLAM,29644051,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
US,CLARK,354740795,9,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['bc', 'co', 'no2', 'o3', 'pm10', 'pm25']"
US,Clarksville,55672407,4,2016-03-10T07:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Cleveland,8767,1,2016-03-06T19:00:00+00:00,2017-11-01T11:00:00+00:00,['o3']
US,Cleveland-Elyria-Mentor,317006110,14,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Clinton,57805091,2,2016-03-06T19:00:00+00:00,2021-01-31T11:00:00+00:00,"['o3', 'pm25', 'so2']"
US,CLINTON,17687,1,2017-02-27T12:00:00+00:00,2020-11-04T12:00:00+00:00,['o3']
US,COCONINO,29414578,1,2020-02-25T16:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,CODINGTON,1557655,1,2016-03-06T19:00:00+00:00,2021-01-31T20:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Coeur d'Alene,25632,1,2016-03-06T19:00:00+00:00,2019-12-17T14:00:00+00:00,['pm25']
US,Colorado Springs,134822980,4,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'o3', 'pm25', 'so2']"
US,Columbia,163363806,7,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,COLUMBIA,55942626,2,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Columbus,174730550,13,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm25', 'so2']"
US,COLUSA,64105839,3,2016-03-06T19:00:00+00:00,2021-02-01T08:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Concord,30893,2,2016-03-06T19:00:00+00:00,2020-10-07T10:00:00+00:00,"['o3', 'so2']"
US,CONVERSE,106868178,2,2016-03-30T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25']"
US,COOK,53356549,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,Cookeville,25918784,1,2017-02-27T21:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
