,aqi,aqi,aqi,aqi,aqi
,mean,median,var,std,sem
West Philadelphia,1.93,1.0,1.67,1.29,0.05
West Springfield,1.38,1.0,0.52,0.72,0.03
Westerville,1.27,1.0,0.3,0.54,0.02
Westland,1.4,1.0,0.39,0.62,0.02
Whitehall,1.27,1.0,0.38,0.61,0.02
Wichita,1.33,1.0,0.28,0.52,0.02
Willowbrook,1.63,1.0,0.89,0.95,0.04
Winchester,1.23,1.0,0.2,0.44,0.02
Woodside,1.43,1.0,0.51,0.72,0.03
Woodville,1.18,1.0,0.15,0.39,0.01
Yardley,1.68,1.0,1.18,1.09,0.04
Youngstown,1.28,1.0,0.25,0.5,0.02
Yuma,1.83,2.0,0.71,0.84,0.03
