UZA,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Miles,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
318,"Slidell, LA","91,151","279,735","18,193",0,"37,364","$1,174,866",0.0,0,0,$0,"279,735",0,"$1,174,866",0.0,0,0.0,0
319,"Yauco, PR","90,899","452,592","36,394","1,011,698","270,950","$634,193",0.0,0,0,$0,"452,592","1,011,698","$634,193",0.0,0,0.0,0
320,"Longmont, CO","90,897","980,919","76,108","4,841,052","1,205,619","$5,798,397",0.0,0,0,$0,"980,919","4,841,052","$5,798,397",0.0,0,0.0,0
321,"Idaho Falls, ID","90,733","380,490","31,132",0,"52,052","$1,486,877",0.0,0,0,$0,"380,490",0,"$1,486,877",0.0,0,0.0,0
322,"Muncie, IN","90,580","955,725","73,182","4,810,538","1,391,256","$7,186,396",0.0,0,0,$0,"955,725","4,810,538","$7,186,396",0.0,0,0.0,0
323,"Temple, TX","90,390","394,118","28,273","938,755","146,128","$2,704,804",0.0,0,0,$0,"394,118","938,755","$2,704,804",0.0,0,0.0,0
324,"Jackson, MI","90,057","544,206","40,478","1,538,513","510,254","$4,067,748",0.0,0,0,$0,"544,206","1,538,513","$4,067,748",0.0,0,0.0,0
325,"Florence, SC","89,557","351,902","22,014",0,"156,293","$1,658,309",0.0,0,0,$0,"351,902",0,"$1,658,309",0.0,0,0.0,0
326,"Santa Fe, NM","89,284","1,159,646","100,741","3,227,227","981,360","$9,453,576",0.0,0,0,$0,"1,159,646","3,227,227","$9,453,576",0.0,0,0.0,0
327,"Mandeville-Covington, LA","88,925","145,833","9,484",0,"19,479","$612,488",0.0,0,0,$0,"145,833",0,"$612,488",0.0,0,0.0,0
328,"Blacksburg, VA","88,542","1,571,142","149,509","7,250,060","4,425,838","$10,482,155",0.0,0,0,$0,"1,571,142","7,250,060","$10,482,155",0.0,0,0.0,0
329,"Portsmouth, NH-ME","88,200","596,198","38,925","2,012,229","653,009","$3,882,017",0.0,0,0,$0,"596,198","2,012,229","$3,882,017",0.0,0,0.0,0
330,"Anderson, IN","88,133","429,663","31,977",0,"226,612","$2,544,539",0.0,0,0,$0,"429,663",0,"$2,544,539",0.0,0,0.0,0
331,"Dover-Rochester, NH-ME","88,087","589,468","38,603","1,331,408","813,827","$3,945,772",0.0,0,0,$0,"589,468","1,331,408","$3,945,772",0.0,0,0.0,0
332,"Lawrence, KS","88,053","1,651,416","154,545","5,295,402","3,032,552","$8,816,751",0.0,0,0,$0,"1,651,416","5,295,402","$8,816,751",0.0,0,0.0,0
333,"Hanford, CA","87,941","2,143,478","83,060","19,335,539","1,051,860","$4,720,671",0.0,0,0,$0,"2,143,478","19,335,539","$4,720,671",0.0,0,0.0,0
334,"Tracy, CA","87,569","828,862","50,987","3,134,625","266,273","$5,603,305",0.0,0,0,$0,"828,862","3,134,625","$5,603,305",0.0,0,0.0,0
335,"State College, PA","87,454","2,888,139","188,608","23,899,720","6,702,177","$17,367,392",0.0,0,0,$0,"2,888,139","23,899,720","$17,367,392",0.0,0,0.0,0
336,"Port Huron, MI","87,106","1,935,243","133,573","7,300,973","1,388,666","$9,313,108",0.0,0,0,$0,"1,935,243","7,300,973","$9,313,108",0.0,0,0.0,0
337,"Springfield, OH","85,256","248,149","18,860",0,"181,550","$1,879,410",0.0,0,0,$0,"248,149",0,"$1,879,410",0.0,0,0.0,0
339,"Fajardo, PR","85,225","363,138","34,033","10,469,206","1,307,571","$26,183,018",84.4,"133,058","9,780,302","$25,661,850","230,080","688,904","$521,168",84.4,"133,058",0.0,0
342,"Napa, CA","83,913","1,461,968","92,821","8,792,309","941,271","$8,992,348",0.0,0,0,$0,"1,461,968","8,792,309","$8,992,348",0.0,0,0.0,0
343,"Alton, IL-MO","83,890","447,418","26,451","1,679,586","239,075","$2,532,995",0.0,0,0,$0,"447,418","1,679,586","$2,532,995",0.0,0,0.0,0
344,"Bend, OR","83,794","654,518","50,092","1,652,981","449,120","$3,638,758",0.0,0,0,$0,"654,518","1,652,981","$3,638,758",0.0,0,0.0,0
345,"Manteca, CA","83,578","348,890","20,202","1,526,381","106,685","$2,151,879",0.0,0,0,$0,"348,890","1,526,381","$2,151,879",0.0,0,0.0,0
346,"Alexandria, LA","82,804","533,374","39,769",0,"577,510","$2,946,411",0.0,0,0,$0,"533,374",0,"$2,946,411",0.0,0,0.0,0
347,"Joplin, MO","82,775","318,455","25,520",0,"140,382","$1,124,002",0.0,0,0,$0,"318,455",0,"$1,124,002",0.0,0,0.0,0
348,"Missoula, MT","82,157","964,854","74,354","3,833,243","1,877,428","$6,811,386",0.0,0,0,$0,"964,854","3,833,243","$6,811,386",0.0,0,0.0,0
349,"Bismarck, ND","81,955","911,139","61,387",0,"228,692","$3,863,074",0.0,0,0,$0,"911,139",0,"$3,863,074",0.0,0,0.0,0
350,"Kankakee, IL","81,926","1,123,308","71,506","5,227,002","658,828","$6,611,543",0.0,0,0,$0,"1,123,308","5,227,002","$6,611,543",0.0,0,0.0,0
351,"Livermore, CA","81,624","339,718","24,927","1,017,332","213,065","$2,174,763",0.0,0,0,$0,"339,718","1,017,332","$2,174,763",0.0,0,0.0,0
352,"Rapid City, SD","81,251","548,463","41,777",0,"453,453","$2,256,327",0.0,0,0,$0,"548,463",0,"$2,256,327",0.0,0,0.0,0
353,"Wheeling, WV-OH","81,249","773,682","56,154","1,287,072","365,879","$4,150,959",0.0,0,0,$0,"773,682","1,287,072","$4,150,959",0.0,0,0.0,0
354,"St. Joseph, MO-KS","81,176","771,956","64,289",0,"428,748","$5,357,035",0.0,0,0,$0,"771,956",0,"$5,357,035",0.0,0,0.0,0
355,"Homosassa Springs-Beverly Hills-Citrus Springs, FL","80,962","283,519","15,643","147,114","43,845","$1,002,216",0.0,0,0,$0,"283,519","147,114","$1,002,216",0.0,0,0.0,0
356,"Juana Díaz, PR","80,928","153,851","12,383","405,713","141,295","$199,830",0.0,0,0,$0,"153,851","405,713","$199,830",0.0,0,0.0,0
357,"Hattiesburg, MS","80,358","307,945","17,592",0,"81,064","$1,549,032",0.0,0,0,$0,"307,945",0,"$1,549,032",0.0,0,0.0,0
358,"Guayama, PR","80,155","219,182","20,352","1,246,252","286,902","$382,075",0.0,0,0,$0,"219,182","1,246,252","$382,075",0.0,0,0.0,0
359,"Altoona, PA","79,930","521,794","40,006","2,487,900","557,190","$5,144,553",0.0,0,0,$0,"521,794","2,487,900","$5,144,553",0.0,0,0.0,0
360,"Anniston-Oxford, AL","79,796","414,557","26,702","423,355","184,038","$1,281,256",0.0,0,0,$0,"414,557","423,355","$1,281,256",0.0,0,0.0,0
361,"Lafayette-Louisville-Erie, CO","79,407","228,465","17,064","972,059","233,154","$1,267,978",0.0,0,0,$0,"228,465","972,059","$1,267,978",0.0,0,0.0,0
362,"Madera, CA","78,413","821,250","38,762","6,029,907","224,937","$2,501,709",0.0,0,0,$0,"821,250","6,029,907","$2,501,709",0.0,0,0.0,0
363,"Battle Creek, MI","78,393","721,066","44,058","954,695","458,460","$4,509,001",0.0,0,0,$0,"721,066","954,695","$4,509,001",0.0,0,0.0,0
364,"Bowling Green, KY","78,306","272,777","23,513",0,"87,727","$1,647,279",0.0,0,0,$0,"272,777",0,"$1,647,279",0.0,0,0.0,0
365,"Texarkana-Texarkana, TX-AR","78,162","430,623","29,037",0,"315,149","$1,766,585",0.0,0,0,$0,"430,623",0,"$1,766,585",0.0,0,0.0,0
366,"Lebanon, PA","77,086","737,188","44,794","2,188,748","355,365","$3,931,452",0.0,0,0,$0,"737,188","2,188,748","$3,931,452",0.0,0,0.0,0
368,"Florence, AL","77,074","296,916","20,880","623,744","67,720","$713,731",0.0,0,0,$0,"296,916","623,744","$713,731",0.0,0,0.0,0
369,"Newark, OH","76,068","804,006","42,400","792,365","89,526","$2,209,553",0.0,0,0,$0,"804,006","792,365","$2,209,553",0.0,0,0.0,0
370,"Anderson, SC","75,702","186,547","12,033",0,"266,105","$753,676",0.0,0,0,$0,"186,547",0,"$753,676",0.0,0,0.0,0
371,"Williamsburg, VA","75,689","1,092,205","78,068","4,826,334","2,010,959","$6,166,862",0.0,0,0,$0,"1,092,205","4,826,334","$6,166,862",0.0,0,0.0,0
372,"Mansfield, OH","75,250","388,526","29,095",0,"242,500","$2,169,668",0.0,0,0,$0,"388,526",0,"$2,169,668",0.0,0,0.0,0
373,"Lake Jackson-Angleton, TX","74,830","307,171","16,379","593,200","95,606","$1,121,686",0.0,0,0,$0,"307,171","593,200","$1,121,686",0.0,0,0.0,0
374,"Auburn, AL","74,741","425,751","31,855",0,"78,036","$1,521,363",0.0,0,0,$0,"425,751",0,"$1,521,363",0.0,0,0.0,0
375,"Wausau, WI","74,632","393,008","28,369",0,"507,200","$3,173,553",0.0,0,0,$0,"393,008",0,"$3,173,553",0.0,0,0.0,0
376,"Oshkosh, WI","74,495","850,995","53,816","2,114,340","934,442","$4,217,282",0.0,0,0,$0,"850,995","2,114,340","$4,217,282",0.0,0,0.0,0
377,"Cheyenne, WY","73,588","417,896","35,263",0,"176,787","$1,607,834",0.0,0,0,$0,"417,896",0,"$1,607,834",0.0,0,0.0,0
378,"Watsonville, CA","73,534","755,598","63,477","6,171,963","1,373,225","$11,562,727",0.0,0,0,$0,"755,598","6,171,963","$11,562,727",0.0,0,0.0,0
379,"Elizabethtown-Radcliff, KY","73,467","1,435,992","75,518","3,383,839","153,078","$2,911,622",0.0,0,0,$0,"1,435,992","3,383,839","$2,911,622",0.0,0,0.0,0
380,"Sumter, SC","73,107","250,961","13,976","772,072","74,286","$1,098,064",0.0,0,0,$0,"250,961","772,072","$1,098,064",0.0,0,0.0,0
381,"Lima, OH","72,852","472,676","30,390",0,"243,439","$2,361,904",0.0,0,0,$0,"472,676",0,"$2,361,904",0.0,0,0.0,0
382,"Davis, CA","72,794","1,248,000","101,630","10,503,234","4,198,092","$8,438,446",0.0,0,0,$0,"1,248,000","10,503,234","$8,438,446",0.0,0,0.0,0
383,"Westminster-Eldersburg, MD","72,714","430,919","42,315",0,"95,197","$1,634,556",0.0,0,0,$0,"430,919",0,"$1,634,556",0.0,0,0.0,0
384,"Flagstaff, AZ","71,957","1,092,942","83,091","7,811,355","2,466,502","$7,735,098",0.0,0,0,$0,"1,092,942","7,811,355","$7,735,098",0.0,0,0.0,0
385,"Jackson, TN","71,880","787,287","54,235","2,624,472","470,165","$3,326,698",0.0,0,0,$0,"787,287","2,624,472","$3,326,698",0.0,0,0.0,0
386,"Camarillo, CA","71,772","357,685","32,849",0,"172,192","$2,069,013",0.0,0,0,$0,"357,685",0,"$2,069,013",0.0,0,0.0,0
387,"Florida-Imbéry-Barceloneta, PR","71,747","76,561","14,035","12,420","63,089","$624,507",0.0,0,0,$0,"76,561","12,420","$624,507",0.0,0,0.0,0
388,"Sheboygan, WI","71,313","699,571","51,372",0,"634,372","$3,762,253",0.0,0,0,$0,"699,571",0,"$3,762,253",0.0,0,0.0,0
389,"Weirton-Steubenville, WV-OH-PA","70,889","395,455","31,765",0,"251,798","$2,122,478",0.0,0,0,$0,"395,455",0,"$2,122,478",0.0,0,0.0,0
